scientific_name,taxonomic_id,rank,atacama_desert___id_10360,hawaii_volcanic_soil___id_1579,panama_soil___id_1716,canadian_metamicrobiome___id_632,serpentinite_hosted_microbiome___id_713,polluted_polar_coastal_sediments___id_1198,mcmurdo_lakes___id_638,great_lake_microbiome___id_1041,global_coral_microbiome_project___id_10895,tara_counts,vulcano_counts,polar_counts,phyllo_counts,panama_counts,lakes_counts,hawaii_counts,costa_counts,air_counts,arabic_counts,thar_counts,antarctic_counts,virus_name,virus_lineage,kegg_genome,kegg_disease,disease,host_name,host_lineage,sample_type,microbe_id,gram_stain,human_disease_causing,antimicrobial_susceptibility,optimal_temperature,extreme_environment,biofilm_forming,optimal_ph,animal_pathogen,spore_forming,pathogenicity,plant_pathogen
Picobirnavirus pig/161/ARG/2006,926539,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus pig/179/ARG/2006,926540,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus pig/73/ARG/2003,926541,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus pig/98/ARG/2004,926542,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus pig/BG-Por-2/India/2010,1084372,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus pig/BRA-01/1998,933488,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus pig/BRA-02/1999,933489,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus pig/SD/China/2009,702848,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus puma/URU-01/2010,1068738,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus rabbit/BRA-01/2004,933490,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus rat/BR-01/BRA/2006,573167,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus rat/BR-02/BRA/2006,573168,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus rat/BR-03/BRA/2006,604236,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus rat/BRA-04/2006,933491,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus snake/BR-01/BRA/2006,573166,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus sp.,1907787,species,,,,,,,,,,,,,,,,,,,,,,Picobirnavirus sp.,Viruses; dsRNA viruses; Picobirnaviridae; Picobirnavirus; unclassified Picobirnavirus,,,,Capreolus capreolus,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Cervidae; Odocoileinae; Capreolus,,,,,,,,,,,,,
Picobirnavirus turkey/MD-2010,928727,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus turkey/USA-1507/2010,1353791,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus turkey/USA-1512/2010,1353792,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus wild rat/BRA-01/2006,933492,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus wolf/PRT/1109/2015,1873468,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus wolf/PRT/189/2015,1873469,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnavirus wolf/PRT/416/2015,1873467,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picorna-like virus AWando15,1983535,species,,,,,,,,,,,,,,,,,,,,,,Picorna-like virus AWando15,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; unclassified Picornavirales",,,,"Haliotis discus hannai, Haliotis discus","Eukaryota; Metazoa; Mollusca; Gastropoda; Vetigastropoda; Lepetellida; Haliotoidea; Haliotidae; Haliotis; Haliotis discus, Eukaryota; Metazoa; Mollusca; Gastropoda; Vetigastropoda; Lepetellida; Haliotoidea; Haliotidae; Haliotis",,,,,,,,,,,,,
Picornavirales,464095,order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Bu-3,1813613,species,,,,,,,,,,,,,,,,,,,,,,Picornavirales Bu-3,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; unclassified Picornavirales",,,,Sus scrofa domesticus,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Suina; Suidae; Sus; Sus scrofa,,,,,,,,,,,,,
Picornavirales N_OV_001,2016023,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales N_OV_003,2016027,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales N_OV_008,2016024,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales N_OV_011,2016021,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales N_OV_013,2016026,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales N_OV_039,2016020,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales N_OV_064,2016028,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales N_OV_080,2016022,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales N_OV_137,2016025,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Q_sR_OV_011,2016071,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Q_sR_OV_019,2016072,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Q_sR_OV_020,2016073,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Q_sR_OV_022,2016074,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Q_sR_OV_023,2016075,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Q_sR_OV_025,2016076,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Q_sR_OV_036,2016077,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Q_sR_OV_041,2016078,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Q_sR_OV_042,2016079,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Tottori-HG1,1795648,species,,,,,,,,,,,,,,,,,,,,,,Picornavirales Tottori-HG1,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; unclassified Picornavirales",,,,Sus scrofa domesticus,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Suina; Suidae; Sus; Sus scrofa,,,,,,,,,,,,,
Picornavirales Tottori-HG2,1795649,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Tottori-HG3,1795650,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirales Tottori-HG4,1795651,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornaviridae,12058,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus PREDICT_PicornaV-1,1717189,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus PREDICT_PicornaV-2,1717190,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus PREDICT_PicornaV-3,1717191,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus PREDICT_PicornaV-4,1717192,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus chicken/CHK1/USA/2010,990662,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus chicken/CHK148/USA/2010,990663,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus chicken/CHK165/USA/2010,990664,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus chicken/CHK168/USA/2010,990665,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus chicken/CHK175/USA/2010,990666,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus fur seal/AAUST34/BR/2012,1659814,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus fur seal/AAUST35/BR/2012,1659815,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus fur seal/AAUST36/BR/2012,1659816,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus fur seal/AAUST37/BR/2012,1659817,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus fur seal/AAUST38/BR/2012,1659818,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus fur seal/AAUST39/BR/2012,1659819,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus fur seal/AAUST65/BR/2012,1676481,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus fur seal/AAUST66/BR/2012,1676482,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus fur seal/AAUST67/BR/2012,1676483,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus fur seal/ATROP61/BR/2012,1661747,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus sheep/HUN/2009,909666,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus turkey/TRK22/USA/2010,990667,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus turkey/TRK24/USA/2010,990668,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus turkey/TRK90/USA/2010,990669,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picornavirus turkey/TRK91/USA/2010,990670,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picovirinae,542836,subfamily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidchovirus,2501975,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgey pidchovirus,2509390,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pieris rapae granulovirus,252584,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6620.0,,Maybe,,,Mesophiles,,,Sometimes,,,Maybe Not
Pieris rapae virus,327392,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pig stool associated circular ssDNA virus,1249501,species,,,,,,,,,,,,,,,,,,,,,,Pig stool associated circular ssDNA virus,Viruses; ssDNA viruses; Smacoviridae; Drosmacovirus; unclassified Drosmacovirus,,,,Sus scrofa,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Suina; Suidae; Sus,,321.0,,,Maybe Not,,Mesophiles,Never,,Sometimes,Never,,
Pig stool associated circular ssDNA virus GER2011,1114942,species,,,,,,,,,,,,,,,,,,,,,,Pig stool associated circular ssDNA virus GER2011,Viruses; ssDNA viruses; Smacoviridae; unclassified Smacoviridae,,,,"Sus scrofa domesticus, Sus scrofa","Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Suina; Suidae; Sus, Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Suina; Suidae; Sus; Sus scrofa",,,,,,,,,,,,,
Pigeon adenovirus 2a,1924072,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon adenovirus 2b,1891777,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon adenovirus 3,1891778,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon adenovirus 4,1891779,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon adenovirus 5,1891780,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon adenovirus FJ2017,2162686,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon aviadenovirus A,1548417,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon aviadenovirus B,2169708,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon circovirus,1414603,species,,,,,,,,,,,,,,,,,,,,,,Pigeon circovirus,Viruses; ssDNA viruses; Circoviridae; Circovirus,,,,Columba livia,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Aves; Neognathae; Columbiformes; Columbidae; Columba,,,,,,,,,,,,,
Pigeon coronavirus UAE-HKU29,2078583,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon mesivirus 2,1379161,species,,,,,,,,,,,,,,,,,,,,,,Pigeon mesivirus 2,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; unclassified Picornaviridae",,,,Columba livia,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Aves; Neognathae; Columbiformes; Columbidae; Columba,,,,,,,,,,,,,
Pigeon parvovirus A,1399967,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon pea latent virus,1442012,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon pea mosaic virus,316386,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon pea sterility mosaic virus,191288,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon pea yellow mosaic virus,156441,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon picornavirus A,928290,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon picornavirus B,928289,species,,,,,,,,,,,,,,,,,,,,,,Pigeon picornavirus B,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; unclassified Picornaviridae",,,,Columbidae,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Aves; Neognathae; Columbiformes,,912.0,,Maybe,,,Mesophiles,,,Sometimes,,,Maybe Not
Pigeon-dominant Coronavirus,1649336,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeonpea cryptic virus,1530591,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeonpea sterility mosaic emaravirus 1,1980429,species,,,,,,,,,,,,,,,,,,,,,,Pigeonpea sterility mosaic emaravirus 1,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Fimoviridae; Emaravirus,,,,Cajanus cajan,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Cajanus,,,,,,,,,,,,,
Pigeonpea sterility mosaic emaravirus 2,1980430,species,,,,,,,,,,,,,,,,,,,,,,Pigeonpea sterility mosaic emaravirus 2,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Fimoviridae; Emaravirus,,,,Cajanus cajan,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Cajanus,,,,,,,,,,,,,
Pigeonpox virus,10264,species,,,,,,,,,,,,,,,,,,,,,,Pigeonpox virus,"Viruses; dsDNA viruses, no RNA stage; Poxviridae; Chordopoxvirinae; Avipoxvirus",,,,Columba livia,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Aves; Neognathae; Columbiformes; Columbidae; Columba,,,,,,,,,,,,,
Pike fry sprivivirus,219584,species,,,,,,,,,,,,,,,,,,,,,,Pike fry sprivivirus,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Sprivivirus,,,,Esox lucius,Eukaryota; Metazoa; Chordata; Craniata; Actinopterygii; Actinopteri; Neopterygii; Teleostei; Euteleosteomorpha; Esociformes; Esocidae; Esox,,,,,,,,,,,,,
Pikminvirus,2560203,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilchard herpesvirus,324600,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pileated finch aveparvovirus,2137544,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus badius adenovirus 1,1076324,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus badius adenovirus 2,1076325,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus badius adenovirus 3,1076326,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus badius cytomegalovirus 1,1379309,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus badius cytomegalovirus 2,1379308,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus badius cytomegalovirus 3,1379684,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus badius polyomavirus 1,1236405,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus badius rhadinovirus 1,1379312,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus rufomitratus polyomavirus 1,1236407,species,,,,,,,,,,,,,,,,,,,,,,Piliocolobus rufomitratus polyomavirus 1,"Viruses; dsDNA viruses, no RNA stage; Polyomaviridae; Alphapolyomavirus",,,,Piliocolobus rufomitratus,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Piliocolobus,,5340.0,,,,,Mesophiles,,,Sometimes,,,Maybe Not
Pimfabavirus,2509507,subgenus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimoid spider associated circular virus 2,2293298,species,,,,,,,,,,,,,,,,,,,,,,Pimoid spider associated circular virus 2,Viruses; ssDNA viruses; unclassified ssDNA viruses,,,,,,,,,,,,,,,,,,
Pine marten bocavirus,1128072,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple bacilliform CO virus,2033633,species,,,,,,,,,,,,,,,,,,,,,,Pineapple bacilliform CO virus,Viruses; Ortervirales; Caulimoviridae; Badnavirus,,,,Ananas comosus,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Poales; Bromeliaceae; Bromelioideae; Ananas,,,,,,,,,,,,,
Pineapple bacilliform ER virus,2034763,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple bacilliform erectifolius virus,512090,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple bacilliform virus,59306,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple mealybug wilt-associated virus 1,180903,species,,,,,,,,,,,,,,,,,,,,,,Pineapple mealybug wilt-associated virus 1,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Closteroviridae; Ampelovirus",,,,Ananas comosus,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Poales; Bromeliaceae; Bromelioideae; Ananas,,,,,,,,,,,,,
Pineapple mealybug wilt-associated virus 2,136234,species,,,,,,,,,,,,,,,,,,,,,,Pineapple mealybug wilt-associated virus 2,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Closteroviridae; Ampelovirus",,,,Ananas comosus,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Poales; Bromeliaceae; Bromelioideae; Ananas,,,,,,,,,,,,,
Pineapple mealybug wilt-associated virus 3,373861,species,,,,,,,,,,,,,,,,,,,,,,Pineapple mealybug wilt-associated virus 3,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Closteroviridae; Ampelovirus",,,,Ananas comosus,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Poales; Bromeliaceae; Bromelioideae; Ananas,,,,,,,,,,,,,
Pineapple mealybug wilt-associated virus 4,497390,species,,,,,,,,,,,,,,,,,,,,,,Pineapple mealybug wilt-associated virus 4,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Closteroviridae; Ampelovirus; unclassified Ampelovirus",,,,Ananas comosus,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Poales; Bromeliaceae; Bromelioideae; Ananas,,,,,,,,,,,,,
Pineapple mealybug wilt-associated virus 5,451381,species,,,,,,,,,,,,,,,,,,,,,,Pineapple mealybug wilt-associated virus 5,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Closteroviridae; Ampelovirus; unclassified Ampelovirus",,,,Ananas comosus,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Poales; Bromeliaceae; Bromelioideae; Ananas,,,,,,,,,,,,,
Pinela virus,1888321,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinhal virus,485722,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinniped bocaparvovirus 1,1511869,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinniped bocaparvovirus 2,1511870,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinniped dependoparvovirus 1,1511898,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus nigra virus 1,2267679,species,,,,,,,,,,,,,,,,,,,,,,Pinus nigra virus 1,Viruses; Ortervirales; Caulimoviridae; unclassified Caulimoviridae,,,,Pinus nigra,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Pinidae; Pinales; Pinaceae; Pinus; Pinus,,,,,,,,,,,,,
Pinus patula amalgavirus 1,2058877,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipapillomavirus,334211,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipapillomavirus 1,334212,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7045.0,,,,,,,,Sometimes,,,
Pipapillomavirus 2,1176145,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119.0,,,,,,,,,,,
Pipefishvirus,1982899,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piper DNA virus 1,1279080,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piper DNA virus 2,1279081,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piper chlorosis virus,2010222,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piper yellow mottle virus,262957,species,,,,,,,,,,,,,,,,,,,,,,Piper yellow mottle virus,Viruses; Ortervirales; Caulimoviridae; Badnavirus,,,,Piper nigrum,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Piperales; Piperaceae; Piper,,189.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
Pipistrellus bat coronavirus HKU5,694008,species,,,,,,,,,,,,,,,,,,,,,,Pipistrellus bat coronavirus HKU5,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus",,,,"Chiroptera, Carollia perspicillata, Pipistrellus abramus","Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria, Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Carolliinae; Carollia, Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Pipistrellus",,3680.0,,,,,,,,,,,
Pirital mammarenavirus,49891,species,,,,,,,,,,,,,,,,,,,,,,Pirital mammarenavirus,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus,,,,Sigmodon alstoni,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Rodentia; Myomorpha; Cricetidae; Sigmodontinae; Sigmodon,,,,,,,,,,,,,
Piry vesiculovirus,1972575,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piscanivirinae,2508210,subfamily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piscihepevirus,1678142,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piscihepevirus A,1678147,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piscine myocarditis virus,1271477,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piscine myocarditis virus AL V-708,912320,species,,,,,,,,,,,,,,,,,,,,,,Piscine myocarditis virus AL V-708,Viruses; dsRNA viruses; Totiviridae; unclassified Totiviridae,,,,Salmo salar,Eukaryota; Metazoa; Chordata; Craniata; Actinopterygii; Actinopteri; Neopterygii; Teleostei; Euteleosteomorpha; Salmoniformes; Salmonidae; Salmoninae; Salmo,,,,,,,,,,,,,
