Organism,Human Microbiome Body Site
Granulibacter bethesdensis NIH9.1,not-specified
Granulicatella adiacens ATCC 49175,oral
Granulicatella elegans ATCC 700633,not-specified
Granulicatella sp. HMSC30F09,not-specified
Granulicatella sp. HMSC31F03,not-specified
Granulicatella sp. HMSC31F03,not-specified
Haematospirillum jordaniae H5569,not-specified
Haemophilus aegyptius ATCC 11116,oral
Haemophilus haemolyticus HK386,airways
Haemophilus influenzae NML-Hia-1,blood
Haemophilus parahaemolyticus HK385,airways
Haemophilus parainfluenzae ATCC 33392,skin
Haemophilus parainfluenzae ATCC 33392,skin
Haemophilus parainfluenzae HK2019,not-specified
Haemophilus parainfluenzae HK262,urogenital-tract
Haemophilus paraphrohaemolyticus HK411,airways
Haemophilus pittmaniae HK 85,oral
Haemophilus sp. HMSC061E01,oral
Haemophilus sp. HMSC066A11,not-specified
Haemophilus sp. HMSC066D02,oral
Haemophilus sp. HMSC066D03,oral
Haemophilus sp. HMSC068C11,oral
Haemophilus sp. HMSC071C11,not-specified
Haemophilus sp. HMSC073C03,not-specified
Haemophilus sp. HMSC61B11,not-specified
Haemophilus sp. HMSC71H05,not-specified
Haemophilus sp. oral taxon 851 F0397,oral
Haemophilus sputorum CCUG 13788,not-specified
Haemophilus sputorum HK 2154,blood
Haemophilus sputorum HK 2154,blood
Hafnia alvei ATCC 51873,gastrointestinal-tract
Hafnia sp. HMSC23F03,urogenital-tract
Halomonas stevensii S18214,not-specified
Helcococcus kunzii ATCC 51366,not-specified
Helcococcus sueciensis DSM 17243,not-specified
Helicobacter bilis ATCC 43879,gastrointestinal-tract
Helicobacter canadensis MIT 98-5491,gastrointestinal-tract
Helicobacter canis NCTC 12740,not-specified
Helicobacter cinaedi CCUG 18818,gastrointestinal-tract
Helicobacter cinaedi CCUG 18818 = ATCC BAA-847 (HMP),gastrointestinal-tract
Helicobacter macacae MIT 99-5501,not-specified
Helicobacter pullorum MIT 98-5489,gastrointestinal-tract
Helicobacter pylori 35A,gastrointestinal-tract
Helicobacter pylori 83,gastrointestinal-tract
Helicobacter pylori Aklavik117,not-specified
Helicobacter pylori Aklavik86,not-specified
Helicobacter pylori Cuz20,not-specified
Helicobacter pylori ELS37,not-specified
Helicobacter pylori GAM100Ai,not-specified
Helicobacter pylori GAM101Biv,gastrointestinal-tract
Helicobacter pylori GAM103Bi,gastrointestinal-tract
Helicobacter pylori GAM105Ai,gastrointestinal-tract
Helicobacter pylori GAM112Ai,gastrointestinal-tract
Helicobacter pylori GAM114Ai,gastrointestinal-tract
Helicobacter pylori GAM115Ai,gastrointestinal-tract
Helicobacter pylori GAM117Ai,gastrointestinal-tract
Helicobacter pylori GAM118Bi,gastrointestinal-tract
Helicobacter pylori GAM119Bi,gastrointestinal-tract
Helicobacter pylori GAM120Ai,gastrointestinal-tract
Helicobacter pylori GAM121Aii,gastrointestinal-tract
Helicobacter pylori GAM201Ai,gastrointestinal-tract
Helicobacter pylori GAM210Bi,gastrointestinal-tract
Helicobacter pylori GAM231Ai,gastrointestinal-tract
Helicobacter pylori GAM239Bi,gastrointestinal-tract
Helicobacter pylori GAM244Ai,gastrointestinal-tract
Helicobacter pylori GAM245Ai,gastrointestinal-tract
Helicobacter pylori GAM246Ai,gastrointestinal-tract
Helicobacter pylori GAM249T,gastrointestinal-tract
Helicobacter pylori GAM250AFi,gastrointestinal-tract
Helicobacter pylori GAM250T,gastrointestinal-tract
Helicobacter pylori GAM252Bi,gastrointestinal-tract
Helicobacter pylori GAM252T,gastrointestinal-tract
Helicobacter pylori GAM254Ai,gastrointestinal-tract
Helicobacter pylori GAM260ASi,gastrointestinal-tract
Helicobacter pylori GAM260Bi,gastrointestinal-tract
Helicobacter pylori GAM260BSi,gastrointestinal-tract
Helicobacter pylori GAM263BFi,gastrointestinal-tract
Helicobacter pylori GAM264Ai,gastrointestinal-tract
Helicobacter pylori GAM265BSii,gastrointestinal-tract
Helicobacter pylori GAM268Bii,gastrointestinal-tract
Helicobacter pylori GAM270ASi,gastrointestinal-tract
Helicobacter pylori GAM42Ai,gastrointestinal-tract
Helicobacter pylori GAM71Ai,gastrointestinal-tract
Helicobacter pylori GAM80Ai,gastrointestinal-tract
Helicobacter pylori GAM83Bi,gastrointestinal-tract
Helicobacter pylori GAM83T,gastrointestinal-tract
Helicobacter pylori GAM93Bi,gastrointestinal-tract
Helicobacter pylori GAM96Ai,gastrointestinal-tract
Helicobacter pylori GAMchJs106B,gastrointestinal-tract
Helicobacter pylori GAMchJs114i,gastrointestinal-tract
Helicobacter pylori GAMchJs117Ai,gastrointestinal-tract
Helicobacter pylori GAMchJs124i,gastrointestinal-tract
Helicobacter pylori GAMchJs136i,gastrointestinal-tract
Helicobacter pylori HP116Bi,gastrointestinal-tract
Helicobacter pylori HP250AFii,gastrointestinal-tract
Helicobacter pylori HP250AFiii,gastrointestinal-tract
Helicobacter pylori HP250AFiV,gastrointestinal-tract
Helicobacter pylori HP250ASi,gastrointestinal-tract
Helicobacter pylori HP250ASii,gastrointestinal-tract
Helicobacter pylori HP250BFi,gastrointestinal-tract
Helicobacter pylori HP250BFii,gastrointestinal-tract
Helicobacter pylori HP250BFiii,gastrointestinal-tract
Helicobacter pylori HP250BFiV,gastrointestinal-tract
Helicobacter pylori HP250BSi,gastrointestinal-tract
Helicobacter pylori HP260AFi,gastrointestinal-tract
Helicobacter pylori HP260AFii,gastrointestinal-tract
Helicobacter pylori HP260ASii,gastrointestinal-tract
Helicobacter pylori HP260BFii,gastrointestinal-tract
Helicobacter pylori HP260Bi,gastrointestinal-tract
Helicobacter pylori HUP-B14,not-specified
Helicobacter pylori NCTC 11637 (SC),not-specified
Helicobacter pylori PeCan18,not-specified
Helicobacter pylori PeCan4,not-specified
Helicobacter pylori Puno135,not-specified
Helicobacter pylori Santal49,not-specified
Helicobacter pylori Shi112,not-specified
Helicobacter pylori Shi169,not-specified
Helicobacter pylori Shi417,not-specified
Helicobacter pylori SJM180,not-specified
Helicobacter pylori SouthAfrica20,gastrointestinal-tract
Helicobacter pylori UM032,"gastrointestinal-tract, not-specified"
Helicobacter pylori UM037,not-specified
Helicobacter pylori UM066,not-specified
Helicobacter winghamensis ATCC BAA-430,gastrointestinal-tract
Holdemanella biformis DSM 3989,gastrointestinal-tract
Holdemanella biformis DSM 3989,gastrointestinal-tract
Holdemania filiformis DSM 12042,gastrointestinal-tract
Hungatella hathewayi 12489931,not-specified
Hungatella hathewayi DSM 13479,gastrointestinal-tract
Hungatella hathewayi DSM 13479,gastrointestinal-tract
Hungatella hathewayi WAL-18680,gastrointestinal-tract
Hyphomonas polymorpha PS728,not-specified
Inquilinus limosus DSM 16000,airways
Intestinibacter bartlettii DSM 16795,gastrointestinal-tract
Intestinibacter bartlettii DSM 16795,gastrointestinal-tract
Janibacter terrae YFY001,blood
Johnsonella ignava ATCC 51276,oral
Jonquetella anthropi DSM 22815,not-specified
Jonquetella anthropi E3_33 E1,oral
Jonquetella sp. BV3C21,not-specified
Kingella denitrificans ATCC 33394,airways
Kingella kingae ATCC 23330,airways
Kingella oralis ATCC 51147,oral
Kingella oralis ATCC 51147,oral
Klebsiella michiganensis 10-5242,not-specified
Klebsiella michiganensis 10-5250,urogenital-tract
Klebsiella oxytoca 09-7231,not-specified
Klebsiella oxytoca 10-5242,not-specified
Klebsiella oxytoca 10-5243,blood
Klebsiella oxytoca 10-5244,not-specified
Klebsiella oxytoca 10-5245,urogenital-tract
Klebsiella oxytoca 10-5248,blood
Klebsiella oxytoca 10-5248,blood
Klebsiella oxytoca 10-5249,not-specified
Klebsiella oxytoca 10-5250,urogenital-tract
Klebsiella oxytoca CAV1015,blood
Klebsiella oxytoca E718,not-specified
Klebsiella oxytoca KA-2,not-specified
Klebsiella oxytoca OK-1,not-specified
Klebsiella pneumoniae 909957,not-specified
Klebsiella pneumoniae BR,not-specified
Klebsiella pneumoniae CAV1016,not-specified
Klebsiella pneumoniae CAV1042,urogenital-tract
Klebsiella pneumoniae CAV1453,not-specified
Klebsiella pneumoniae CG43,not-specified
Klebsiella pneumoniae DHQP1002001,urogenital-tract
Klebsiella pneumoniae ED2,blood
Klebsiella pneumoniae ED23,blood
Klebsiella pneumoniae isolate 11,urogenital-tract
Klebsiella pneumoniae isolate 23,not-specified
Klebsiella pneumoniae isolate blood sample 2,blood
Klebsiella pneumoniae Kp_Goe_121641,not-specified
Klebsiella pneumoniae Kp_Goe_149473,not-specified
Klebsiella pneumoniae Kp_Goe_149832,not-specified
Klebsiella pneumoniae Kp_Goe_152021,not-specified
Klebsiella pneumoniae Kp_Goe_33208,not-specified
Klebsiella pneumoniae Kp_Goe_39795,not-specified
Klebsiella pneumoniae Kp_Goe_62629,urogenital-tract
Klebsiella pneumoniae Kp_Goe_71070,not-specified
Klebsiella pneumoniae Kp_Goe_821588,not-specified
Klebsiella pneumoniae Kp_Goe_822579,nose
Klebsiella pneumoniae Kp_Goe_822917,not-specified
Klebsiella pneumoniae Kp_Goe_827024,not-specified
Klebsiella pneumoniae Kp_Goe_827026,not-specified
Klebsiella pneumoniae KP_Goe_828304,not-specified
Klebsiella pneumoniae MJR8396D,urogenital-tract
Klebsiella pneumoniae MNCRE53,wound
Klebsiella pneumoniae MNCRE69,urogenital-tract
Klebsiella pneumoniae MNCRE78,wound
Klebsiella pneumoniae pneumoniae TGH13,not-specified
Klebsiella pneumoniae pneumoniae WGLW1,urogenital-tract
Klebsiella pneumoniae pneumoniae WGLW2,airways
Klebsiella pneumoniae pneumoniae WGLW3,gastrointestinal-tract
Klebsiella pneumoniae pneumoniae WGLW5,gastrointestinal-tract
Klebsiella pneumoniae rhinoscleromatis ATCC 13884,airways
Klebsiella pneumoniae SWU01,not-specified
Klebsiella pneumoniae UCLAOXA232KP,not-specified
Klebsiella pneumoniae UCLAOXA232KP_Pt0,not-specified
Klebsiella sp. 4_1_44FAA,gastrointestinal-tract
Klebsiella sp. AS10,not-specified
Klebsiella sp. HMSC09D12,urogenital-tract
Klebsiella sp. HMSC16A12,urogenital-tract
Klebsiella sp. HMSC16C06,not-specified
Klebsiella sp. HMSC22F09,not-specified
Klebsiella sp. HMSC25G12,urogenital-tract
Klebsiella sp. MS 92-3 MS 92-3,gastrointestinal-tract
Klebsiella sp. OBRC7,not-specified
Klebsiella variicola 1_1_55,gastrointestinal-tract
Kluyvera ascorbata ATCC 33433,not-specified
Kocuria sp. HMSC066H03,not-specified
Kytococcus sp. HMSC28H12,skin
Lachnoanaerobaculum saburreum DNF00896,urogenital-tract
Lachnoanaerobaculum saburreum DSM 3986,oral
Lachnoanaerobaculum saburreum F0468,oral
Lachnoanaerobaculum sp. ICM7,oral
Lachnoanaerobaculum sp. MSX33,not-specified
Lachnoanaerobaculum sp. OBRC5-5,gastrointestinal-tract
Lachnospiraceae bacterium 1_1_57FAA,gastrointestinal-tract
Lachnospiraceae bacterium 1_4_56FAA,gastrointestinal-tract
Lachnospiraceae bacterium 2_1_46FAA,gastrointestinal-tract
Lachnospiraceae bacterium 2_1_58FAA,gastrointestinal-tract
Lachnospiraceae bacterium 3_1_46FAA,gastrointestinal-tract
Lachnospiraceae bacterium 3_1_57FAA_CT1,gastrointestinal-tract
Lachnospiraceae bacterium 4_1_37FAA,gastrointestinal-tract
Lachnospiraceae bacterium 5_1_57FAA,gastrointestinal-tract
Lachnospiraceae bacterium 5_1_63FAA,gastrointestinal-tract
Lachnospiraceae bacterium 6_1_37FAA,gastrointestinal-tract
Lachnospiraceae bacterium 6_1_63FAA,gastrointestinal-tract
Lachnospiraceae bacterium 7_1_58FAA,gastrointestinal-tract
Lachnospiraceae bacterium 8_1_57FAA,gastrointestinal-tract
Lachnospiraceae bacterium 9_1_43BFAA,gastrointestinal-tract
Lachnospiraceae bacterium oral taxon 082 F0431,oral
Lachnospiraceae oral F0167,not-specified
Lachnospiraceae oral taxon 107 str. F0167,oral
Lactobacillus acidophilus ATCC 4796,gastrointestinal-tract
Lactobacillus amylolyticus DSM 11664,gastrointestinal-tract
Lactobacillus antri DSM 16041,gastrointestinal-tract
Lactobacillus brevis ATCC 14869,gastrointestinal-tract
Lactobacillus brevis gravesensis ATCC 27305,gastrointestinal-tract
Lactobacillus buchneri ATCC 11577,gastrointestinal-tract
Lactobacillus coleohominis 101-4-CHN,urogenital-tract
Lactobacillus crispatus 125-2-CHN,urogenital-tract
Lactobacillus crispatus 214-1,urogenital-tract
Lactobacillus crispatus CTV-05,urogenital-tract
Lactobacillus crispatus FB049-03,urogenital-tract
Lactobacillus crispatus FB077-07,urogenital-tract
Lactobacillus crispatus JV-V01,urogenital-tract
Lactobacillus crispatus MV-1A-US,urogenital-tract
Lactobacillus crispatus MV-3A-US,urogenital-tract
Lactobacillus crispatus PSS7772C,urogenital-tract
Lactobacillus crispatus SJ-3C-US,urogenital-tract
Lactobacillus delbrueckii bulgaricus PB2003/044-T3-4,urogenital-tract
Lactobacillus delbrueckii lactis DSM 20072,gastrointestinal-tract
Lactobacillus fermentum 28-3-CHN,urogenital-tract
Lactobacillus fermentum ATCC 14931,gastrointestinal-tract
Lactobacillus fermentum SNUV175,not-specified
Lactobacillus gasseri 202-4,urogenital-tract
Lactobacillus gasseri 224-1,urogenital-tract
Lactobacillus gasseri JV-V03,urogenital-tract
Lactobacillus gasseri MV-22,urogenital-tract
Lactobacillus gasseri PSS7772D,urogenital-tract
Lactobacillus gasseri SJ-9E-US,urogenital-tract
Lactobacillus gasseri SV-16A-US,urogenital-tract
Lactobacillus gastricus DSM 16045,not-specified
Lactobacillus gastricus PS3,not-specified
Lactobacillus helveticus D76,not-specified
Lactobacillus helveticus DSM 20075,gastrointestinal-tract
Lactobacillus helveticus DSM 20075 = CGMCC 1.1877,gastrointestinal-tract
Lactobacillus hilgardii ATCC 8290,gastrointestinal-tract
Lactobacillus hilgardii DSM 20176 = ATCC 8290,gastrointestinal-tract
Lactobacillus iners 7_1_47FAA,gastrointestinal-tract
Lactobacillus iners ATCC 55195,urogenital-tract
Lactobacillus iners DSM 13335,urogenital-tract
Lactobacillus iners LactinV 01V1-a,urogenital-tract
Lactobacillus iners LactinV 03V1-b,urogenital-tract
Lactobacillus iners LactinV 09V1-c,urogenital-tract
Lactobacillus iners LactinV 11V1-d,urogenital-tract
Lactobacillus iners LEAF 2052A-d,urogenital-tract
Lactobacillus iners LEAF 2053A-b,urogenital-tract
Lactobacillus iners LEAF 2062A-h1,urogenital-tract
Lactobacillus iners LEAF 3008A-a,urogenital-tract
Lactobacillus iners SPIN 1401G,urogenital-tract
Lactobacillus iners SPIN 2503V10-D,urogenital-tract
Lactobacillus iners UPII 143-D,urogenital-tract
Lactobacillus iners UPII 60-B,urogenital-tract
Lactobacillus jensenii 115-3-CHN,urogenital-tract
Lactobacillus jensenii 1153,urogenital-tract
Lactobacillus jensenii 208-1,not-specified
Lactobacillus jensenii 269-3,urogenital-tract
Lactobacillus jensenii 27-2-CHN,urogenital-tract
Lactobacillus jensenii JV-V16,urogenital-tract
Lactobacillus jensenii SJ-7A-US,urogenital-tract
Lactobacillus jensenii SNUV360,not-specified
Lactobacillus johnsonii ATCC 33200,urogenital-tract
Lactobacillus johnsonii BS15,not-specified
Lactobacillus kisonensis F0435,oral
Lactobacillus oris F0423,oral
Lactobacillus oris PB013-T2-3,urogenital-tract
Lactobacillus paracasei paracasei 8700:2,gastrointestinal-tract
Lactobacillus paracasei paracasei ATCC 25302,gastrointestinal-tract
Lactobacillus parafarraginis F0439,oral
Lactobacillus plantarum plantarum ATCC 14917,gastrointestinal-tract
Lactobacillus plantarum plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437,gastrointestinal-tract
Lactobacillus plantarum ZJ316,not-specified
Lactobacillus reuteri CF48-3A,gastrointestinal-tract
Lactobacillus reuteri MM2-3,gastrointestinal-tract
Lactobacillus reuteri MM4-1A,gastrointestinal-tract
Lactobacillus reuteri SD2112,gastrointestinal-tract
Lactobacillus rhamnosus ATCC 21052,gastrointestinal-tract
Lactobacillus rhamnosus GG,gastrointestinal-tract
Lactobacillus rhamnosus LMS2-1,gastrointestinal-tract
Lactobacillus ruminis ATCC 25644,gastrointestinal-tract
Lactobacillus salivarius ACS-116-V-Col5a,urogenital-tract
Lactobacillus salivarius ATCC 11741,oral
Lactobacillus sp. HMSC056D05,not-specified
Lactobacillus sp. HMSC061B07,not-specified
Lactobacillus sp. HMSC064F12,not-specified
Lactobacillus sp. HMSC066G01,not-specified
Lactobacillus sp. HMSC068B07,not-specified
Lactobacillus sp. HMSC068F07,not-specified
Lactobacillus sp. HMSC072E07,not-specified
Lactobacillus sp. HMSC073B09,not-specified
Lactobacillus sp. HMSC073D04,not-specified
Lactobacillus sp. HMSC075D02,oral
Lactobacillus sp. HMSC077C11,not-specified
Lactobacillus sp. HMSC078F07,not-specified
Lactobacillus sp. HMSC08B12,urogenital-tract
Lactobacillus sp. HMSC17G08,not-specified
Lactobacillus sp. HMSC24D01,not-specified
Lactobacillus sp. HMSC25A02,not-specified
Lactobacillus ultunensis DSM 16047,gastrointestinal-tract
Lactobacillus vaginalis ATCC 49540,urogenital-tract
Lactobacillus vaginalis DSM 5837 = ATCC 49540,urogenital-tract
Lautropia mirabilis ATCC 51599,oral
Legionella lansingensis DSM 19556 = ATCC 49751,not-specified
Legionella tucsonensis ATCC 49180,not-specified
Leminorella grimontii ATCC 33999 = DSM 5078,gastrointestinal-tract
Leptospira broomii serovar Hurstbridge str. 5399,not-specified
Leptospira licerasiae serovar Varillal str. VAR 010,not-specified
Leptospira wolffii serovar Khorat str. Khorat-H2,not-specified
Leptotrichia goodfellowii F0264,oral
Leptotrichia goodfellowii F0264,oral
Leptotrichia hofstadii F0254,oral
Leptotrichia shahii DSM 19757,not-specified
Leptotrichia sp. oral taxon 215 W9775,not-specified
Leptotrichia sp. oral taxon 225 F0581,not-specified
Leptotrichia sp. oral taxon 847 F0260,not-specified
Leptotrichia sp. oral taxon 879 F0557,not-specified
Leptotrichia trevisanii DSM 22070,not-specified
Leptotrichia wadei F0279,not-specified
Leptotrichia wadei KA00185,urogenital-tract
Leuconostoc mesenteroides cremoris ATCC 19254,gastrointestinal-tract
Listeria grayi DSM 20601,gastrointestinal-tract
Listeria innocua ATCC 33091,gastrointestinal-tract
Listeria monocytogenes 08-6997,blood
Listeria monocytogenes 10-1047,not-specified
Listeria monocytogenes 88-0478,blood
Listeria monocytogenes J1-220,not-specified
Mageeibacillus indolicus S7-24-11,urogenital-tract
Mageeibacillus indolicus UPII9-5,urogenital-tract
Marvinbryantia formatexigens DSM 14469,gastrointestinal-tract
Massilia timonae CCUG 45783,blood
Megamonas funiformis YIT 11815,gastrointestinal-tract
Megasphaera genomosp. type_1 28L,urogenital-tract
Megasphaera genomosp. type_1 28L,urogenital-tract
Megasphaera micronuciformis F0359,oral
Megasphaera sp. BV3C16-1,not-specified
Megasphaera sp. MJR8396C,urogenital-tract
Megasphaera sp. UPII 135-E UPII 135-E,urogenital-tract
Megasphaera sp. UPII 199-6 UPII 199-6,urogenital-tract
Methanobacterium congolense,blood
Methanobrevibacter oralis DSM 7256,oral
Methanobrevibacter smithii DSM 2374,gastrointestinal-tract
Methanobrevibacter smithii DSM 2375,gastrointestinal-tract
Methylobacterium populi CD11_7,not-specified
Microbacterium sp. oral taxon 186 F0373,not-specified
Micrococcus luteus SK58,skin
Micrococcus sp. HMSC067E09,urogenital-tract
Micrococcus sp. HMSC31B01,urogenital-tract
Mitsuokella multacida DSM 20544,gastrointestinal-tract
Mitsuokella sp. oral taxon 131 W9106,not-specified
Mobiluncus curtisii ATCC 43063,urogenital-tract
Mobiluncus curtisii ATCC 51333,urogenital-tract
Mobiluncus curtisii curtisii ATCC 35241,urogenital-tract
Mobiluncus curtisii holmesii ATCC 35242,urogenital-tract
Mobiluncus mulieris 28-1,urogenital-tract
Mobiluncus mulieris ATCC 35239,urogenital-tract
Mobiluncus mulieris ATCC 35243,urogenital-tract
Mobiluncus mulieris FB024-16,urogenital-tract
Mogibacterium sp. CM50,oral
Mogibacterium timidum ATCC 33093,not-specified
Moraxella sp. HMSC061H09,oral
Morganella morganii morganii KT,not-specified
Morganella sp. HMSC11D09,urogenital-tract
Murdochiella sp. Marseille-P2341,gastrointestinal-tract
Mycobacterium abscessus FLAC006,not-specified
Mycobacterium abscessus FLAC028,not-specified
Mycobacterium abscessus FLAC030,not-specified
Mycobacterium abscessus FLAC046,not-specified
Mycobacterium abscessus FLAC055,not-specified
Mycobacterium arupense GUC1,oral
Mycobacterium immunogenum FLAC016,not-specified
Mycobacterium intracellulare ATCC 13950,not-specified
Mycobacterium intracellulare MOTT-02,not-specified
Mycobacterium intracellulare MOTT-64,not-specified
Mycobacterium iranicum UM_TJL,not-specified
Mycobacterium kyorinense,not-specified
Mycobacterium nebraskense AKUC2,oral
Mycobacterium parascrofulaceum ATCC BAA-614,urogenital-tract
Mycobacterium phlei RIVM601174,not-specified
Mycobacterium sp. MOTT36Y,not-specified
Mycobacterium tuberculosis Beijing,not-specified
Mycobacterium tuberculosis CCDC5180,not-specified
Mycobacterium tuberculosis DK9897,oral
Mycobacterium tuberculosis I0002353-6,not-specified
Mycobacterium tuberculosis I0002801-4,not-specified
Mycobacterium tuberculosis I0004000-1,not-specified
Mycobacterium tuberculosis I0004241-1,not-specified
Mycobacterium tuberculosis KZN 4207,not-specified
Mycobacterium tuberculosis M0002959-6,not-specified
Mycobacterium tuberculosis M0018684-2,not-specified
Mycobacterium tuberculosis SCAID 252.0,not-specified
Mycobacterium tuberculosis SCAID 320.0,not-specified
Mycobacterium tuberculosis TB282,oral
Mycobacterium vaccae ATCC 25954,not-specified
Mycobacterium xenopi RIVM700367,not-specified
Mycoplasma penetrans HF-2,not-specified
Mycoplasma pneumoniae M129-B7,not-specified
Myroides odoratimimus CCUG 10230,skin
Myroides odoratimimus CCUG 12700,not-specified
Myroides odoratimimus CCUG 12901,urogenital-tract
Myroides odoratimimus CCUG 3837,not-specified
Myroides odoratimimus CIP 101113,skin
Myroides odoratus CIP 103059,skin
Necropsobacter massiliensis FF6,not-specified
Necropsobacter rosorum,airways
Neisseria bacilliformis ATCC BAA-1200,oral
Neisseria cinerea ATCC 14685,airways
Neisseria cinerea ATCC 14685,airways
Neisseria elongata glycolytica ATCC 29315,airways
Neisseria flavescens NRL30031/H210,airways
Neisseria flavescens SK114,skin
Neisseria gonorrhoeae 32867,not-specified
Neisseria gonorrhoeae 34530,not-specified
Neisseria gonorrhoeae 34769,not-specified
Neisseria gonorrhoeae SK33414,not-specified
Neisseria lactamica ATCC 23970,airways
Neisseria macacae ATCC 33926,gastrointestinal-tract
Neisseria meningitidis 331401,blood
Neisseria meningitidis ATCC 13091,airways
Neisseria meningitidis DE10444,airways
Neisseria meningitidis DE8555,airways
Neisseria meningitidis DE8669,airways
Neisseria meningitidis L91543,not-specified
Neisseria meningitidis M07149,not-specified
Neisseria meningitidis M07161,not-specified
Neisseria meningitidis M08000,not-specified
Neisseria meningitidis M08001,not-specified
Neisseria meningitidis M09293,not-specified
Neisseria meningitidis M12752,not-specified
Neisseria meningitidis M22160,not-specified
Neisseria meningitidis M22740,not-specified
Neisseria meningitidis M22759,not-specified
Neisseria meningitidis M22783,not-specified
Neisseria meningitidis M22809,not-specified
Neisseria meningitidis M22811,not-specified
Neisseria meningitidis M22819,not-specified
Neisseria meningitidis M22822,not-specified
Neisseria meningitidis M22828,not-specified
Neisseria meningitidis M24705,not-specified
Neisseria meningitidis M25070,not-specified
Neisseria meningitidis M25419,not-specified
Neisseria meningitidis M25438,not-specified
Neisseria meningitidis M25456,not-specified
Neisseria meningitidis M25462,not-specified
Neisseria meningitidis M25474,not-specified
Neisseria meningitidis M25476,not-specified
Neisseria mucosa ATCC 25996,airways
Neisseria mucosa C102,airways
Neisseria polysaccharea ATCC 43768,airways
Neisseria shayeganii 871,airways
Neisseria sicca ATCC 29256,airways
Neisseria sicca VK64,airways
Neisseria sp. GT4A_CT1,oral
Neisseria sp. HMSC03D10,not-specified
Neisseria sp. HMSC055F11,oral
Neisseria sp. HMSC055H02,oral
Neisseria sp. HMSC056A03,not-specified
Neisseria sp. HMSC056A04,not-specified
Neisseria sp. HMSC058F07,not-specified
Neisseria sp. HMSC059F02,not-specified
Neisseria sp. HMSC061B04,oral
Neisseria sp. HMSC061E12,oral
Neisseria sp. HMSC061H08,oral
Neisseria sp. HMSC063B05,oral
Neisseria sp. HMSC064D07,oral
Neisseria sp. HMSC064E01,oral
Neisseria sp. HMSC064F03,oral
Neisseria sp. HMSC064F04,oral
Neisseria sp. HMSC065C04,oral
Neisseria sp. HMSC065D04,not-specified
Neisseria sp. HMSC066B07,not-specified
Neisseria sp. HMSC066F04,not-specified
Neisseria sp. HMSC066H01,not-specified
Neisseria sp. HMSC067G11,not-specified
Neisseria sp. HMSC067G12,not-specified
Neisseria sp. HMSC067H04,not-specified
Neisseria sp. HMSC067H09,not-specified
Neisseria sp. HMSC068C04,not-specified
Neisseria sp. HMSC068C12,oral
Neisseria sp. HMSC069H12,oral
Neisseria sp. HMSC06F02,not-specified
Neisseria sp. HMSC070A01,oral
Neisseria sp. HMSC070E12,not-specified
Neisseria sp. HMSC070F02,not-specified
Neisseria sp. HMSC070H10,not-specified
Neisseria sp. HMSC071A01,not-specified
Neisseria sp. HMSC071B12,not-specified
Neisseria sp. HMSC071C03,not-specified
Neisseria sp. HMSC072B12,oral
Neisseria sp. HMSC072C05,oral
Neisseria sp. HMSC072F04,not-specified
Neisseria sp. HMSC073B07,not-specified
Neisseria sp. HMSC073G10,oral
Neisseria sp. HMSC074B07,oral
Neisseria sp. HMSC075C10,not-specified
Neisseria sp. HMSC075C12,not-specified
Neisseria sp. HMSC077D05,not-specified
Neisseria sp. HMSC078C12,oral
Neisseria sp. HMSC078H04,not-specified
Neisseria sp. HMSC15C08,not-specified
Neisseria sp. HMSC15G01,not-specified
Neisseria sp. HMSC31F04,not-specified
Neisseria sp. HMSC70E02,not-specified
Neisseria sp. oral taxon 014 F0314,oral
Neisseria sp. oral taxon 020 F0370,oral
Neisseria subflava NJ9703,oral
Neisseria wadsworthii 9715,skin
Nocardia brasiliensis HUJEG-1,not-specified
Nocardiopsis dassonvillei dassonvillei DSM 43111,blood
Nosocomiicoccus sp. HMSC059G07,urogenital-tract
Nosocomiicoccus sp. HMSC067E10,urogenital-tract
Nosocomiicoccus sp. HMSC09A07,urogenital-tract
Oceanobacillus massiliensis Ndiop,not-specified
Odoribacter laneus YIT 12061,gastrointestinal-tract
Odoribacter splanchnicus DSM 220712,not-specified
Oligella sp. HMSC05A10,urogenital-tract
Oligella sp. HMSC09E12,urogenital-tract
Oligella ureolytica DSM 18253,urogenital-tract
Oligella urethralis 368_TASI,not-specified
Oligella urethralis DNF00040,urogenital-tract
Oligella urethralis DSM 7531,not-specified
Olsenella profusa F0195,not-specified
Olsenella sp. DNF00959,urogenital-tract
Olsenella sp. HMSC062G07,not-specified
Olsenella sp. oral taxon 809 F0356,oral
Olsenella uli MSTE5,not-specified
Oribacterium asaccharolyticum ACB7,oral
Oribacterium parvum ACB1,oral
Oribacterium parvum ACB1,oral
Oribacterium parvum ACB8,not-specified
Oribacterium sinus F0268,oral
Oribacterium sp. oral taxon 078 F0262,oral
Oribacterium sp. oral taxon 078 F0263,not-specified
Oribacterium sp. oral taxon 108 F0425,oral
Orientia tsutsugamushi Kato PP,not-specified
Oscillibacter sp. KLE 1728 KLE 1728,gastrointestinal-tract
Oscillibacter sp. KLE 1745 KLE 1745,gastrointestinal-tract
Oxalobacter formigenes HOxBLS,gastrointestinal-tract
Oxalobacter formigenes OXCC13,gastrointestinal-tract
Paenibacillus massiliensis 2301065 = DSM 16942,not-specified
Paenibacillus sanguinis 2301083 = DSM 16941,not-specified
