ID,Species,Order,Class,Phylum,Domain,Genome availability,Salinity concentration/range(w/v),Halotolerance classification
468,Halococcus hamelinensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"12.5% - 30%, optimum 15%",Moderate
469,Halococcus qingdaonensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"min 10%, optimum 18%",Moderate
470,Halococcus thailandensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,20% - 30%,Extreme
471,Haloferax alexandrinus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"min 10% - satr, optimum 25%",Extreme
472,Haloferax chudinovii,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,7% - 27% (optimum 15% - 18%),Extreme
473,Haloferax larsenii,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,5.8% - 28% (optimum 12.8% - 19.8%),Extreme
474,Haloferax lucentense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,10.5% - 29.8% (optimum 25.1%),Extreme
475,Haloferax prahovense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,14.6% - 30.3% (optimum 20.4%),Extreme
476,Halogeometricum limi,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,optimum 22.7%,Extreme
477,Halogeometricum pallidum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,optimum 18.1%,Moderate
478,Halogeometricum rufum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,12.2% - 29.8% (optimum 22.7%),Extreme
479,Halogranum amylolyticum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,8.1% - 29.8% (optimum 19.8% - 22.7%),Extreme
480,Halogranum gelatinilyticum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,8.1% - 29.8% (optimum 19.8% - 22.7%),Extreme
481,Halogranum rubrum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,15.1% - 25.1% (optimum 22.7%),Extreme
482,Halogranum salarium,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,8.1% - 29.8% (optimum 15.1% - 22.7%),Extreme
483,Halohasta litorea,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,min 12%,Moderate
484,Halohasta litchfieldiae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 12%,Moderate
485,Halolamina pelagica,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,8.1% - 29.8% (optimum 19.8% - 22.7%),Extreme
486,Halolamina rubra,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,15% - 30%,Extreme
487,Halolamina salifodinae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"9.3% - 31.5%, min 9%, optimum 19.8% - 22.7%",Extreme
488,Halolamina salina,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"11.1% - 31.5%, min 8%, optimum 19.8%",Extreme
489,Halolamina sediminis,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,"15% - 30%, min 10%, optimum 20% - 25%",Extreme
490,Halomarina oriensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"10% - 30%, optimum 16%",Moderate
491,Halomicroarcula limicola,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"min 5%, 5.2% - 28%, optimum 12.2%",Extreme
492,Halomicroarcula pellucida,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,20% - 30 % (optimum 25 %),Extreme
493,Halomicroarcula salina,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,5.2% - 28% (optimum 12.2%),Extreme
494,Halomicrobium katesii,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"20% - 30%, optimum 25%",Extreme
495,Halomicrobium zhouii,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 8%, 8.1% - 29.8%, optimum (15.1%)",Extreme
496,Halonotius pteroides,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"16% - 36%, optimum 18%",Extreme
497,Haloparvum sedimenti,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,15% - 20%,Moderate
498,Halopelagius inordinatus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,15.1% - 28% (optimum 19.8% - 22.7%),Extreme
499,Halopelagius fulvigenes,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,10% - 30% (optimum 20% - 25%),Extreme
500,Halopelagius longus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 8%, 10.5% - 35% (optimum 17.5% - 20.4%)",Extreme
502,Halopenitus persicus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 9.9%, optimum 17.5%",Moderate
503,Halopenitus salinus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"min 5%, 5.2% - 28% (optimum 15.1% - 18.1%)",Extreme
504,Halopiger aswanensis,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,"min 10%, optimum 22.5% – 25%",Extreme
505,Halopiger salifodinae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 11.1%,Moderate
506,Haloplanus aerogenes,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,8.1% - 29.8% (optimum 12.2%),Extreme
507,Haloplanus litoreus ,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"min 15%, 15,1% - 28% (optimum 19.8%)",Extreme
508,Haloplanus ruber,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"min 12%, 12.2% - 28% (optimum 18.1%)",Extreme
509,Haloplanus natans,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,15.1% - 25.1% (optimum 17.5%),Extreme
510,Haloplanus salinus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,5.2% - 28% (optimum 18.1%),Extreme
512,Haloplanus vescus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 12%, 15.1% - 25.1% (optimum 18.1%)",Extreme
513,Halorhabdus tiamatea,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,"10% - 30%, optimum 27%",Extreme
514,Halorhabdus rudnickae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,optimum 20%,Extreme
515,Halorientalis brevis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,8.1% - 28% (optimum 15.1% - 18.1%),Extreme
517,Halorubellus litoreus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"min 8%, 8.1% - 29.8% (optimum 18.1%)",Extreme
518,Halorubellus salinus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"min 8%, 8.1% - 29.8% (optimum 18.1%)",Extreme
519,Halorubrum aquaticum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,14.6% - 29.2% (optimum 19.8%),Extreme
520,Halorubrum aidingense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,9.9% - 25.1% (optimum 15.1%),Moderate
521,Halorubrum lipolyticum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,9.9% - 28% (optimum 15.1%),Extreme
522,Halorubrum alkaliphilum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,10.5% - 30.3% (optimum 22.7% - 25.1%),Extreme
523,Halorubrum arcis,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,12.8% - 30.3% (optimum 19.8% - 22.7%),Extreme
524,Halorubrum californiense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,14.6% - 29.2% (optimum 20.4% - 26.2%),Extreme
525,Halorubrum chaoviator,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,12% - 30% (optimum 25%),Extreme
526,Halorubrum cibi,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,15% - 30% (optimum 23% - 25%),Extreme
527,Halorubrum ejinorense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,14.6% - 29.2% (optimum 19.8%),Extreme
528,Halorubrum ezzemoulense ,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 15%, 15% - 25% (optimum 20%)",Extreme
529,Halorubrum gandharaense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,17.5% - 30.3% (optimum 18.7% - 19.8%),Extreme
530,Halorubrum halodurans,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"min 10%, optimum 25%",Extreme
531,Halorubrum halophilum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,15% - 30% (optimum 25%),Extreme
532,Halorubrum kocurii,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,15% - 30% (optimum 20%),Extreme
533,Halorubrum laminariae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,9.9% - 28% (optimum 15.1% - 18.1%),Extreme
534,Halorubrum litoreum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,11.6% - 29.8% (optimum 19.8%),Extreme
535,Halorubrum luteum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,14.6% - 30.3% (optimum 23.3% - 25.1%),Extreme
536,Halorubrum orientale,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,14.6% - 29.2% (optimum 19.8%),Extreme
537,Halorubrum persicum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"min 12%, 15% - 30% (optimum 20%)",Extreme
538,Halorubrum rubrum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"min 8%, 8.1% - 28% (optimum 12.2%)",Extreme
539,Halorubrum rutilum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,5.2% - 28% (optimum 15.1%),Extreme
540,Halorubrum salinum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,9.9% - 28% (optimum 15.1%),Extreme
541,Halorubrum tebenquichense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,"14.6% - 30.3%, optimum 30%",Extreme
542,Halorubrum terrestre,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,15% – 30 % (optimum 25%) ,Extreme
543,Halorubrum tibetense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"min 8.7%, optimum 17.5% - 19.8%",Moderate
544,Halorubrum yunnanense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,optimum 20%,Extreme
545,Halorubrum xinjiangense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,11.6% - 30.3% (optimum 18.1% - 19.8%),Extreme
546,Halorussus amylolyticus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,8.1% - 28% (optimum 11.6%),Extreme
547,Halorussus rarus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,8.1% - 25.1% (optimum 12.2%),Extreme
548,Halorussus ruber,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"min 8%, 8.1% - 28% (optimum 9.9%)",Extreme
549,Halosiccatus urmianus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,min 14.6% (optimum 23.3%),Extreme
550,Halosimplex litoreum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,5.2% - 28% (optimum 18.1%),Extreme
551,Halosimplex pelagicum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"min 8%, 8.1% - 28% (optimum 19.8%)",Extreme
552,Halosimplex rubrum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,5.2% - 19.8% (optimum 18.1%),Extreme
553,Halostagnicola alkaliphila,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,20% - 30% (optimum 25%),Extreme
554,Halostagnicola bangensis,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,20% - 30% (optimum 25%),Extreme
555,Halostagnicola kamekurae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,10% - 30% (optimum 15%),Extreme
556,Halostagnicola larsenii,Natrialbales,Halobacteria,Euryarchaeota,Archaea,complete genome,"15% - 30%, optimum 20%",Extreme
557,Halostella salina,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,15% - 30% (optimum 20%),Extreme
558,Haloterrigena daqingensis,Natrialbales,Halobacteria,Euryarchaeota,Archaea,complete genome,9.9% - 32.1% (optimum 11.6% - 14.6%),Extreme
559,Haloterrigena hispanica,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,12.8% - 23.3% (optimum 19.8%),Extreme
560,Haloterrigena jeotgali,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,10% - 30% (optimum 15% - 20%),Extreme
561,Haloterrigena limicola,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,9.9% - 29.8% (optimum 18.1%),Extreme
562,Haloterrigena longa,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,9.9% - 29.8% (optimum 18.1%),Extreme
563,Haloterrigena saccharevitans,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 9.9% (optimum 17.5% - 19.8%),Moderate
564,Haloterrigena salina,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,14.6% - 29.2% (optimum 19.8%),Extreme
565,Haloterrigena thermotolerans,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 11.6% (optimum 17.5% - 20.4%),Extreme
566,Halovarius luteus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,min 14.6% (optimum 23.3%),Extreme
567,Halovenus aranensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,14.6% - 29.2% (optimum 23.3%),Extreme
568,Halovenus rubra,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,18.1% - 29.8% (optimum 22.7%),Extreme
569,Halovenus salina,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,15% - 30% (optimum 25%),Extreme
570,Halovivax asiaticus,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 15% (optimum 20%),Extreme
572,Halovivax cerinus,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,14.6% - 29.8% (optimum 19.8%),Extreme
573,Halovivax limisalsi,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,15% - 30% (optimum 25.1%),Extreme
574,Natrialba aegyptiaca,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 9.3% - satr, optimum 14.6% - 17.5%",Moderate
575,Natrialba hulunbeirensis,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,12% - 30% (optimum 20%),Extreme
576,Natrialba chahannaoensis,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,10% - 30% (optimum 15%),Extreme
577,Natrialba taiwanensis,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,11.6% - satur (optimum 20.4%),Extreme
578,Natribaculum breve,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,5.2% - 29.8% (optimum 15.1%),Extreme
579,Natribaculum longum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,5.2% - 29.8% (optimum 19.8%),Extreme
580,Natrinema altunense,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 9.9% (optimum 17.5% - 25.1%),Extreme
581,Natrinema ejinorense,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,min 10.5% (optimum 19.8%),Extreme
582,Natrinema gari,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,9.9% - 29.8% (optimum 15.1% - 19.8%),Extreme
583,Natrinema pallidum,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 8.7% (19.8% - 25.1%),Extreme
584,Natrinema pellirubrum,Natrialbales,Halobacteria,Euryarchaeota,Archaea,complete genome,"min 8.7%, 11.6% (optimum 19.8% - 25.1%)",Extreme
585,Natrinema salaciae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,optimum 15.1% - 19.8%,Extreme
586,Natrinema versiforme,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 8.7% (optimum 19.8% - 25.1%),Extreme
587,Natronoarchaeum mannanilyticum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"12% - 31%, optimum 23% - 26%",Extreme
588,Natronoarchaeum philippinense,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"14% - 30 % (optimum, 18 %)",Extreme
589,Natronoarchaeum rubrum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"min 8%, 8.1% - 28% (optimum 15.1%)",Extreme
590,Natronobacterium texcoconense,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,9.9% - 25.1% (optimum 15.1% - 19.8%),Extreme
591,Natronococcus jeotgali,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,7.5% - 30% (optimum 23% - 25%),Extreme
592,Natronococcus roseus,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,15% - 30% (optimum 25% - 30%),Extreme
593,Natronolimnobius baerhuensis,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 15%, optimum 20%",Extreme
594,Natronolimnobius innermongolicus,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 10% (optimum 15% - 20%),Extreme
595,Natronomonas gomsonensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"min 18%, optimum 24%",Extreme
596,Natronomonas moolapensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,optimum 18% - 20%,Moderate
597,Natronorubrum aibiense,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,"12% - 25%, optimum 15% - 18%",Moderate
598,Natronorubrum bangense,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 12%,Moderate
599,Natronorubrum tibetense,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 12%,Moderate
600,Natronorubrum sediminis,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 14.6%, optimum 19.8%",Moderate
601,Natronorubrum sulfidifaciens,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 12%, optimum 18.1%",Moderate
602,Natronorubrum texcoconense,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 14.6%, optimum 19.8%",Moderate
603,Salarchaeum japonicum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,8.7% - 30.9% (optimum 14.6% - 17.5%),Extreme
604,Salinarchaeum laminariae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,8.1% - 29.8% (optimum 18.1% - 25.1%),Extreme
605,Salinigranum rubrum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,8.1% - 28% (optimum 18.1%),Extreme
606,Salinarubrum litoreum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,optimum 15.1%,Moderate
607,Halocella cellulosilytica,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,5% - 20% (optimum 15%),Moderate
608,Halanaerobium salsuginis,Halanaerobiales,Clostridia,Firmicutes,Bacteria,shotgun,6% - 24% (optimum 9%),Moderate
609,Haloanaerobium fermentans,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,"max 25%, optimum 10%",Moderate
610,Haloanaerobium lacusroseus,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,"1% - satr, optimum 20%",Extreme
611,Halanaerobium acetethylicum,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,5% - 22%,Extreme
612,Haloanaerobium kushneri,Halanaerobiales,Clostridia,Firmicutes,Bacteria,shotgun,15% - 20% (optimum 12%),Moderate
613,Halanaerobium congolense,Halanaerobiales,Clostridia,Firmicutes,Bacteria,shotgun,"4% - 24%, optimum 10%",Moderate
614,Halanaerobium saccharolyticum,Halanaerobiales,Clostridia,Firmicutes,Bacteria,shotgun,3% - 30% (optimum 10%),Extreme
615,Natroniella sulfidigena,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,9% - 23% (optimum 17%),Moderate
616,Orenia marismortui,Halanaerobiales,Clostridia,Firmicutes,Bacteria,shotgun,3% - 17% (optimum 3% - 12%),Moderate
617,Haloanaerobacter chitinovorans,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,3% - 29% (optimum 12% - 17%),Moderate
618,Haloanaerobacter salinarius,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,5% - 30% (optimum 14% - 15%),Extreme
619,Halanaerobacter lacunarum,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,no records available,Extreme
620,Tamilnaduibacter salinus,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"min 1%, max 20%",Moderate
621,Psychroflexus salarius,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,shotgun,1% - 10%,Moderate
622,Neptuniibacter halophilus,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% – 6.0 %, optimum 2% - 4%",Slight
623,Mongoliicoccus alkaliphilus,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,no,0% - 5%,Slight
624,Litoribacter alkaliphilus,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,no,0% - 5%,Slight
626,Halomonas garicola,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"3% - 22.5%, optimum 10%",Moderate
627,Oceanobacillus picturae,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,0% - 22%,Moderate
628,Piscibacillus salipiscarius,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"2% - 30%, optimum 10% - 20%",Moderate
629,Microbulbifer rhizosphaerae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,no,1% - 6%,Moderate
630,Zhihengliuella somnathii,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,no,"15% max, optimum 4%",Moderate
631,Gynuella sunshinyii,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,"1% - 7%, optimum 1% - 4%",Moderate
632,Actinotalea suaedae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,no,"0% - 5%, optimum 3%",Slight
633,Labrenzia suaedae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,shotgun,"0% - 9%, optimum 0% - 5%",Moderate
634,Martelella endophytica,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,complete genome,"0% - 9%, optimum 4% - 5%",Moderate
635,Modestobacter roseus,Geodermatophilales,Actinobacteria,Actinobacteria,Bacteria,no,"0% - 10%, optimum 3%",Moderate
636,Hoeflea suaedae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"0% - 9.5%, opimum 0% - 7%",Moderate
637,Kineococcus endophytica,Kineosporiales,Actinobacteria,Actinobacteria,Bacteria,no,0% - 5%,Slight
638,Pseudonocardia nantongensis,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"0% - 15%, optimum 3%",Moderate
639,Gracilibacillus kimchii,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 25%, optimum 10% - 15%",Extreme
640,Lentibacillus kimchii,Bacillales,Bacilli,Firmicutes,Bacteria,no,"10% - 30%, optimum 15% - 20%",Extreme
641,Bacillus pseudoflexus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"2% - 11%, optimum 5%",Moderate
642,Halobacillus salicampi,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 20%, optimum 9%",Moderate
643,Haloferax namakaokahaiae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"2.9% - 31%, optimum 10%",Extreme
644,Oceanobacillus jeddahense,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,optimum 10%,Moderate
645,Halomonas urumqiensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,optimum 8%,Moderate
646,Oceanobacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"3% - 15%, optimum 7.5%",Moderate
647,Halorhabdus rudnickae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"5% - 30%, optimum 20%",Extreme
648,Egicoccus halophilus,Egicoccales,Nitriliruptoria,Actinobacteria,Bacteria,no,"0% - 9%, optimum 3.5%",Moderate
649,Lentibacillus amyloliquefaciens,Bacillales,Bacilli,Firmicutes,Bacteria,complete genome,"5% - 25%, optimum 7% - 12%",Extreme
650,Egibacter rhizosphaerae,Egibacterales,Nitriliruptoria,Actinobacteria,Bacteria,no,"8% - 25%, optimum 10% - 12%",Extreme
652,Streptomonospora tuzyakensis,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,no,"4% - 20%, optimum 10%",Moderate
653,Halopeptonella vilamensis,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"7.5% - 25%, optimum 10% - 15%",Extreme
654,Halobacillus sediminis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 20%, optimum 10%",Moderate
655,Idiomarina aquatica,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,optimum 5% - 10%,Moderate
656,Spiribacter curvatus,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,"5% - 20%, optimum 10%",Moderate
657,Halobellus ramosii,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"12.5% - 30%, optimum 20%",Extreme
658,Spirochaeta sinaica,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria,no,"2% - 12%, optimum 7%",Moderate
659,Paraglycomyces xinjiangensis,Glycomycetales,Actinobacteria,Actinobacteria,Bacteria,no,optimum 8% - 13%,Moderate
660,Salininema proteolyticum,Glycomycetales,Actinobacteria,Actinobacteria,Bacteria,no,"3% - 15%, optimum 7%",Moderate
661,Amycolatopsis flava,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"1% - 30%, optimum 5%",Extreme
662,Marinobacter halophilus,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 20%, optimum 4% - 8%",Moderate
663,Oceanobacillus arenosus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 8%, optimum 2%",Moderate
664,Halovarius luteus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,"14.5% - 30%, optimum 23%",Extreme
665,Halomonas heilongjiangensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 14%, optimum 7% - 10%",Moderate
666,Bounagaea algeriensis,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,15% - 25%,Extreme
667,Marinobacter nitratireducens,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"max 6%, optimum 2%",Moderate
668,Longimonas halophila,Bacteroidetes Order II. Incertae sedis,not assigned,Bacteroidetes,Bacteria,no,"4% - 25%, optimum 6% - 8%",Extreme
669,Halobacillus andaensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"3% - 15%, optimum 8%",Moderate
670,Bacillus rigiliprofundi,Bacillales,Bacilli,Firmicutes,Bacteria,no,"max 12%, optimum 5% - 6%",Moderate
671,Prauserella isguenensis,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"5% - 25%, optimum 7% - 15%",Extreme
672,Melghiribacillus thermohalophilus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 17%, optimum 7% - 10%",Moderate
673,Idiomarina halophila,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 11%, optimum 2% - 3%",Moderate
674,Aquisalimonas lutea,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"5% - 20%, optimum 7.5%",Moderate
675,Kushneria pakistanensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 30%, optimum 3% - 9%",Extreme
676,Planococcus dechangensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"2% - 10%, optimum 4%",Moderate
677,Marinobacter shengliensis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 18%, optimum 3% - 6%",Moderate
